"Company.Name","Address","Phone","Postcode","Latitude","Longitude","Community.Board","Community.Council","Census.Tract","BIN","BBL","NTA","Rating","Review","Price","Yelp.Category","Food.Rating(~100)","Food.Price(~100)","Food.Review(~100)","Food.Count(~100)","Food.Rating(~200)","Food.Price(~200)","Food.Review(~200)","Food.Count(~200)","Food.Rating(200~400)","Food.Price(200~400)","Food.Review(200~400)","Food.Count(200~400)","Food.Rating(400~600)","Food.Price(400~600)","Food.Review(400~600)","Food.Count(400~600)","Food.Rating(600~800)","Food.Price(600~800)","Food.Review(600~800)","Food.Count(600~800)","Food.Rating(800~)","Food.Price(800~)","Food.Review(800~)","Food.Count(800~)"
"Paramount Hotel","235 W 46th St","2127645500",10036,40.759132,-73.986348,5,3,125,1024737,1010180006,"Midtown-Midtown South                                                      ",2.2,272,2,"hotels",2.43157894736842,1.47368421052632,273.684210526316,19,2.69130434782609,1.66666666666667,308.840579710145,69,7.48840579710145,4.77536231884058,658.942028985507,196,2.57971014492754,1.56521739130435,173.95652173913,72,0,0,0,4,0.101449275362319,0.072463768115942,10.7536231884058,6
"Carter Hotel","250 W 43rd St","2129446000",10036,40.757309,-73.987901,5,3,119,1085096,1010140055,"Midtown-Midtown South                                                      ",2,114,1,"hotels",1.75925925925926,1.14814814814815,190.222222222222,27,2.17692307692308,1.36923076923077,266.323076923077,65,6.37538461538461,4.00769230769231,579.661538461538,143,2.85384615384615,1.8,199,77,2.13846153846154,1.32307692307692,167.015384615385,56,0.107692307692308,0.0769230769230769,11.4153846153846,6
"Millennium Hotel","145 W 44th St","2127684400",10036,40.756667,-73.984396,5,4,119,1085016,1009970010,"Midtown-Midtown South                                                      ",3,347,3,"hotels",2.56896551724138,1.51724137931034,305.758620689655,29,2.71538461538462,1.67692307692308,364.430769230769,65,3.36769230769231,2.06923076923077,245.046153846154,91,5.05384615384615,3.2,377.476923076923,121,2.23846153846154,1.44615384615385,219.615384615385,60,0.276923076923077,0.184615384615385,16.8461538461538,10
"Best Western President Hotel","234 W 48th St","2122468800",10036,40.760454,-73.985655,5,3,125,1024764,1010190055,"Midtown-Midtown South                                                      ",2.5,88,2,"hotels",2.23529411764706,1.38235294117647,171.911764705882,34,2.67578947368421,1.62105263157895,205.726315789474,95,4.64947368421053,3.00526315789474,452.957894736842,160,1.54736842105263,0.947368421052632,143.536842105263,69,0.394736842105263,0.242105263157895,27.0421052631579,17,0.0736842105263158,0.0526315789473684,7.81052631578947,6
"Novotel","226 W 52nd St","2123150100",10019,40.762897,-73.983683,5,3,131,1024817,1010230018,"Midtown-Midtown South                                                      ",3.5,161,3,"hotels",2.45,1.35,168.95,20,2.39230769230769,1.46153846153846,185.830769230769,65,3.21538461538462,1.96923076923077,220.261538461538,78,3.98307692307692,2.68461538461538,365.046153846154,92,2.67692307692308,1.6,341.8,66,1.38461538461538,0.861538461538462,110.476923076923,46
"Dream Hotel","1674 Broadway","2122472000",10019,40.762861,-73.983109,5,4,131,1024831,1010240131,"Midtown-Midtown South                                                      ",2.5,236,3,"hotels",2.1304347826087,1.26086956521739,193.304347826087,23,2.421875,1.5,212.234375,64,2.8203125,1.71875,162.5,70,3.8578125,2.5703125,341.109375,86,3.28125,2,413.3125,78,1.484375,0.921875,113.375,49
"W Hotel","1567 Broadway","2129307400",10036,40.759247,-73.985168,5,3,125,1024742,1010187501,"Midtown-Midtown South                                                      ",3.5,423,3,"hotels",2.30952380952381,1.38095238095238,183.666666666667,21,2.59135802469136,1.68518518518519,229.395061728395,81,5.90123456790123,3.60493827160494,531.716049382716,171,2.37654320987654,1.53086419753086,211.481481481481,85,0,0,0,4,0.0864197530864197,0.0617283950617284,9.16049382716049,6
"Doubletree Guest Suites","1568 Broadway","2127191600",10036,40.759055,-73.98471,5,4,125,1000000,1009990061,"Midtown-Midtown South                                                      ",3.5,247,3,"hotels",1.98125,1.40625,116.3125,16,2.70963855421687,1.71686746987952,247.650602409639,83,5.06024096385542,3.08433734939759,431.807228915663,155,2.71686746987952,1.7710843373494,251.530120481928,96,0.120481927710843,0.0843373493975904,18.1686746987952,7,0.0843373493975904,0.0602409638554217,8.93975903614458,6
"Stay Hotel","157 W 47th St","2127683700",10036,40.758678,-73.983342,5,4,125,1022676,1010000007,"Midtown-Midtown South                                                      ",3,53,3,"hotels",2.48695652173913,1.5,192.608695652174,23,2.6203125,1.6640625,184.796875,64,5.1515625,3.171875,570.625,123,5.703125,3.609375,446.75,144,0.28125,0.1875,28.765625,10,0.109375,0.078125,11.59375,6
"Hotel 41 At Times Square","206 W 41st St","2127038600",10036,40.755597,-73.987999,5,3,113,1024650,1010120037,"Midtown-Midtown South                                                      ",4.5,8,3,"hotels",1.09090909090909,0.636363636363636,60.0909090909091,11,1.8953488372093,1.11627906976744,131.976744186047,43,4.23255813953488,2.72093023255814,560.813953488372,68,7.38139534883721,4.73255813953488,637.046511627907,113,4.13953488372093,2.51162790697674,293.186046511628,71,2.98837209302326,1.88372093023256,226.325581395349,52
"Time Hotel, The","224 W 49th St","8778463692",10019,40.761014,-73.985052,5,3,125,1024782,1010200051,"Midtown-Midtown South                                                      ",3,186,2,"hotels",2.34375,1.4375,167.34375,32,2.55154639175258,1.54639175257732,197.268041237113,97,3.93711340206186,2.59278350515464,354.020618556701,136,2,1.20618556701031,219.072164948454,81,0.587628865979381,0.350515463917526,41.8041237113402,27,0.0721649484536082,0.0515463917525773,7.64948453608247,6
"Hilton Times Square","234 W 42nd St","2126422510",10036,40.756747,-73.988659,5,3,113,1024665,1010130012,"Midtown-Midtown South                                                      ",3.5,242,3,"hotels",1.62962962962963,1.07407407407407,129.962962962963,27,1.96078431372549,1.29411764705882,188.352941176471,51,4.78823529411765,3.03921568627451,491.235294117647,88,5.88627450980392,3.63725490196078,494.588235294118,110,3.15686274509804,1.90196078431373,235.058823529412,64,1.6078431372549,1.05882352941176,150.019607843137,34
"The Westin New York at Times Square","270 W 43rd St","2128681900ext245",10036,40.757482,-73.988309,5,3,119,1087141,1010140058,"Midtown-Midtown South                                                      ",3.5,433,3,"hotels",1.77586206896552,1.20689655172414,170.034482758621,29,2.12903225806452,1.32258064516129,210.983870967742,62,6.06774193548387,3.91935483870968,624.241935483871,131,3.76129032258065,2.28225806451613,260.322580645161,92,2.24193548387097,1.38709677419355,175.096774193548,56,0.112903225806452,0.0806451612903226,11.9677419354839,6
"Crowne Plaza Times Square","1605 Broadway","2129774000",10019,40.760537,-73.984644,5,3,125,1076195,1010200046,"Midtown-Midtown South                                                      ",3,273,3,"hotels",2.42307692307692,1.48717948717949,123.820512820513,39,2.5,1.55128205128205,191.346153846154,78,5.71025641025641,3.59615384615385,505.705128205128,158,2.47435897435897,1.58974358974359,277.705128205128,83,0.602564102564103,0.346153846153846,35.2435897435897,22,0.0897435897435897,0.0641025641025641,9.51282051282051,6
"Renaissance Times Square","714 Seventh Ave","2122615100",10036,40.759581,-73.984366,5,4,125,1024757,1010197501,"Midtown-Midtown South                                                      ",4,143,3,"hotels",2.14583333333333,1.33333333333333,118.333333333333,24,2.61,1.66111111111111,187.177777777778,90,4.68888888888889,2.85555555555556,472.388888888889,151,2.37222222222222,1.54444444444444,199.011111111111,93,0.111111111111111,0.0777777777777778,16.7555555555556,7,0.0777777777777778,0.0555555555555556,8.24444444444444,6
"New York Inn","765 Eighth Ave","8884651140",10036,40.76029,-73.987572,4,3,127,1025055,1010370035,"Clinton                                                                    ",1.5,18,2,"hotels",2.11111111111111,1.44444444444444,119.5,18,2.91807228915663,1.85542168674699,256.096385542169,83,3.75542168674699,2.45180722891566,359.66265060241,124,3.68072289156627,2.20481927710843,321.843373493976,123,0.253012048192771,0.144578313253012,11.5542168674699,11,0.0843373493975904,0.0602409638554217,8.93975903614458,6
"Casablanca Hotel","147 W 43rd St","2128691212",10036,40.756022,-73.984808,5,4,119,1022611,1009960009,"Midtown-Midtown South                                                      ",4.5,65,2,"hotels",2.35416666666667,1.33333333333333,298.833333333333,24,2.58035714285714,1.5,333.142857142857,56,3.43571428571429,2.24107142857143,291.517857142857,80,5.08928571428571,3.17857142857143,324.267857142857,108,4.21428571428571,2.67857142857143,442.053571428571,87,0.526785714285714,0.357142857142857,29.0535714285714,16
"The French Quarters Guest Apartments","346 W 46th St",NA,10036,40.760359,-73.989286,4,3,121,1080885,1010360052,"Clinton                                                                    ",5,56,2,"hotels",2.79166666666667,2.02777777777778,294.416666666667,36,2.83333333333333,1.88888888888889,259.259259259259,54,4.11481481481481,2.7037037037037,364.037037037037,88,6.87407407407407,4.17592592592593,631.648148148148,146,2.48148148148148,1.46296296296296,203.944444444444,53,0.12962962962963,0.0925925925925926,13.7407407407407,6
"Hotel St. James","109 W 45th St","2122213600",10036,40.757026,-73.983291,5,4,119,1022641,1009980026,"Midtown-Midtown South                                                      ",3,64,2,"hotels",2.47916666666667,1.29166666666667,200.25,24,2.75882352941176,1.63725490196078,267.843137254902,51,4.36666666666667,2.64705882352941,402.196078431373,86,6.50980392156863,4.17647058823529,492.078431372549,135,3.62745098039216,2.37254901960784,382.588235294118,69,0.137254901960784,0.0980392156862745,14.5490196078431,6
"Big Apple Hostel","119 W 45th St","2123022603",10036,40.757114,-73.983494,5,4,119,1022639,1009980023,"Midtown-Midtown South                                                      ",3.5,12,1,"hostels",2.60606060606061,1.45454545454545,263.848484848485,33,2.75882352941176,1.63725490196078,267.843137254902,51,5.22941176470588,3.17647058823529,502.333333333333,101,6.17647058823529,4,442.392156862745,128,3.09803921568627,2.01960784313725,332.137254901961,61,0.137254901960784,0.0980392156862745,14.5490196078431,6
"Hotel Mela","120 W 44th St","2127107000",10036,40.756461,-73.983952,5,4,119,1022616,1009960043,"Midtown-Midtown South                                                      ",3.5,213,2,"hotels",2.56896551724138,1.44827586206897,291,29,2.68,1.58,276.76,50,4.008,2.53,407.22,84,6.57,4.08,426.26,125,3.99,2.62,451.54,74,0.5,0.34,28.66,14
"AKA","123 W 44th St","2126455700",10036,40.756491,-73.983977,5,4,119,1022629,1009970019,"Midtown-Midtown South                                                      ",4,22,3,"hotels",2.56896551724138,1.44827586206897,291,29,2.68965517241379,1.62068965517241,330.568965517241,58,3.29137931034483,2.06034482758621,283.103448275862,81,5.55172413793103,3.43103448275862,345.551724137931,122,3.33620689655172,2.20689655172414,387.137931034483,72,0.431034482758621,0.293103448275862,24.7068965517241,14
"Grace Hotel","125 W 45th St","2123542323",10036,40.757163,-73.983613,5,4,119,1022637,1009980018,"Midtown-Midtown South                                                      ",3,173,2,"hotels",2.64864864864865,1.54054054054054,244.135135135135,37,2.78928571428571,1.72321428571429,332.321428571429,56,4.66428571428571,2.82142857142857,382.375,100,5.94642857142857,3.82142857142857,441.857142857143,132,2.32142857142857,1.5,250.232142857143,53,0.125,0.0892857142857143,13.25,6
"Comfort Inn Midtown","129 W 46th St","2122212600",10036,40.757811,-73.98323,5,4,125,1022666,1009990017,"Midtown-Midtown South                                                      ",3.5,64,2,"hotels",2.51666666666667,1.46666666666667,201.5,30,2.69454545454545,1.68181818181818,221.527272727273,55,5.13090909090909,3.18181818181818,531.2,107,6.76363636363636,4.23636363636364,544.890909090909,146,1.41818181818182,0.945454545454545,134.745454545455,33,0.127272727272727,0.0909090909090909,13.4909090909091,6
"The Night Hotel","132 W 45th St",NA,10036,40.757218,-73.983786,5,4,119,1022632,1009970047,"Midtown-Midtown South                                                      ",3.5,123,3,"hotels",2.67105263157895,1.52631578947368,237.789473684211,38,2.76206896551724,1.73275862068966,324.362068965517,58,4.79655172413793,2.89655172413793,389.379310344828,106,5.67241379310345,3.6551724137931,471.655172413793,129,1.94827586206897,1.24137931034483,172.879310344828,48,0.120689655172414,0.0862068965517241,12.7931034482759,6
"Muse Hotel, The","130 W 46th St","2124852701",10036,40.757814,-73.98328,5,4,119,1022645,1009980047,"Midtown-Midtown South                                                      ",4,208,3,"hotels",2.51666666666667,1.46666666666667,201.5,30,2.69454545454545,1.68181818181818,221.527272727273,55,5.20363636363636,3.2,538.581818181818,108,6.69090909090909,4.21818181818182,537.509090909091,145,1.41818181818182,0.945454545454545,134.745454545455,33,0.127272727272727,0.0909090909090909,13.4909090909091,6
"Portland Square Hotel","132 W 47th St","2123820600",10036,40.758461,-73.982869,5,4,125,1022669,1009990048,"Midtown-Midtown South                                                      ",2,9,2,"hotels",2.48695652173913,1.5,192.608695652174,23,2.62127659574468,1.56382978723404,182.872340425532,47,7.0468085106383,4.38297872340426,723.851063829787,124,7.71276595744681,4.87234042553191,621.787234042553,142,1.35106382978723,0.936170212765957,147.659574468085,28,0.148936170212766,0.106382978723404,15.7872340425532,6
"Flatotel International","135 W 52nd St","2128879400",10019,40.761736,-73.980883,5,4,131,1023160,1010057501,"Midtown-Midtown South                                                      ",3,77,3,"hotels",1.72222222222222,1.33333333333333,154.777777777778,9,2.18,1.44,185.6,25,8.188,5.02,540.28,81,10.508,6.48,869.4,97,10.68,6.92,1319.8,92,3.94,2.44,265.8,52
"Econo Lodge","767 Eighth Ave","2122461991",10036,40.760315,-73.987554,4,3,127,1025056,1010370036,"Clinton                                                                    ",3,28,2,"hotels",2.11111111111111,1.44444444444444,119.5,18,2.91807228915663,1.85542168674699,256.096385542169,83,3.71927710843373,2.42771084337349,357.78313253012,123,3.63855421686747,2.18072289156627,322.493975903614,121,0.331325301204819,0.192771084337349,12.7831325301205,14,0.0843373493975904,0.0602409638554217,8.93975903614458,6
"Hilton Garden Inn","790 Eighth Ave","2125817000",10019,40.761127,-73.98694,5,3,125,1024771,1010207501,"Midtown-Midtown South                                                      ",4,255,2,"hotels",2.34375,1.3125,130.75,16,2.67796610169492,1.72881355932203,235.796610169492,59,6.48135593220339,4.1271186440678,562.593220338983,144,4.74576271186441,2.93220338983051,456.813559322034,110,1.01694915254237,0.576271186440678,80.0508474576271,28,0.11864406779661,0.0847457627118644,12.5762711864407,6
"Milford Plaza Hotel & Restaurant","700 Eighth Ave","2126424641",10036,40.758663,-73.988738,5,3,119,1024711,1010167501,"Midtown-Midtown South                                                      ",2.8,532,1,"hotels",2.25,1.33333333333333,172.375,24,2.72321428571429,1.80357142857143,186.107142857143,56,5.02142857142857,3.23214285714286,590.910714285714,113,6.08392857142857,3.65178571428571,480.785714285714,130,1.89285714285714,1.17857142857143,148.982142857143,42,0.125,0.0892857142857143,13.25,6
"InterContinental Hotel","300 W 44th St","2127555900",10036,40.758706,-73.989276,4,3,121,1088460,1010340037,"Clinton                                                                    ",NA,NA,NA,NA,2.03333333333333,1.2,94.4666666666667,15,2.74107142857143,1.85714285714286,222.017857142857,56,4.7625,3.05357142857143,541.5,106,6.06607142857143,3.59821428571429,473.464285714286,129,2.15178571428571,1.35714285714286,169.803571428571,50,0.125,0.0892857142857143,13.25,6
"Mayfair Hotel","242 W 49th St","2125860300",10019,40.761138,-73.985344,5,3,125,1024784,1010200057,"Midtown-Midtown South                                                      ",3.5,86,2,"hotels",2.44642857142857,1.53571428571429,184.75,28,2.56382978723404,1.5531914893617,197.755319148936,94,4.2063829787234,2.75,394.18085106383,142,1.98936170212766,1.21276595744681,203.010638297872,78,0.606382978723404,0.361702127659574,43.1382978723404,27,0.074468085106383,0.0531914893617021,7.8936170212766,6
"The Michaelangelo Hotel","152 W 51st St","2127651900",10019,40.761439,-73.982168,5,4,131,1022710,1010037501,"Midtown-Midtown South                                                      ",4,97,3,"hotels",1.77777777777778,1.16666666666667,144.944444444444,18,2.43076923076923,1.41538461538462,154.707692307692,65,3.53384615384615,2.26923076923077,283.661538461538,88,4.08,2.58461538461538,409.738461538462,93,2.93076923076923,1.89230769230769,323.661538461538,81,0.676923076923077,0.415384615384615,51.6461538461538,20
"Remington Hotel Co","129 W 46th St","2122212600",10036,40.757811,-73.98323,5,4,125,1022666,1009990017,"Midtown-Midtown South                                                      ",3.5,64,2,"hotels",2.51666666666667,1.46666666666667,201.5,30,2.69454545454545,1.68181818181818,221.527272727273,55,5.13090909090909,3.18181818181818,531.2,107,6.76363636363636,4.23636363636364,544.890909090909,146,1.41818181818182,0.945454545454545,134.745454545455,33,0.127272727272727,0.0909090909090909,13.4909090909091,6
"Amsterdam Court Hotel","226 W 50th St","2124591000",10019,40.761668,-73.984651,5,3,125,1024806,1010210052,"Midtown-Midtown South                                                      ",2.5,120,2,"hotels",2.39285714285714,1.46428571428571,201.357142857143,28,2.52127659574468,1.5,180.989361702128,94,2.69042553191489,1.82446808510638,203.351063829787,93,3.01595744680851,1.86170212765957,345.914893617021,101,1.03191489361702,0.617021276595745,91.7872340425532,50,0.180851063829787,0.127659574468085,23.936170212766,9
"Sheraton Manhattan at Times Square","790 Seventh Ave","2125813300",10019,40.762005,-73.982612,5,4,131,1024818,1010230029,"Midtown-Midtown South                                                      ",2,468,2,"hotels",1.91666666666667,1.20833333333333,228.208333333333,24,2.50819672131148,1.50819672131148,195.311475409836,61,4.02786885245902,2.51639344262295,286.508196721311,94,3.74918032786885,2.40983606557377,368.983606557377,80,3.37704918032787,2.18032786885246,395.606557377049,88,0.885245901639344,0.524590163934426,57.2295081967213,24
"Hampton Inn","851 Eighth Ave","2125814100",10019,40.763059,-73.985557,4,3,133,1025211,1010427501,"Clinton                                                                    ",4,162,2,"hotels",1.53125,1,80.375,16,2.63333333333333,1.66666666666667,260.2,45,5.14444444444444,3.04444444444444,350.888888888889,94,6.23111111111111,4.27777777777778,539.955555555556,100,4.13333333333333,2.46666666666667,494.222222222222,77,1.57777777777778,0.933333333333333,121.888888888889,31
"Sheraton New York Hotel and Towers","811 Seventh Ave","2125811000",10019,40.762674,-73.982095,5,4,131,1023159,1010050001,"Midtown-Midtown South                                                      ",2.5,637,3,"hotels",1.9,1.1,169.45,20,2.26136363636364,1.40909090909091,206.636363636364,44,4.86363636363636,3.02272727272727,318.386363636364,83,4.12272727272727,2.55681818181818,340.659090909091,66,6.72727272727273,4.31818181818182,776.204545454545,103,2.19318181818182,1.36363636363636,165.431818181818,51
"Hotel Edison","228 W 47th St","2128405000",10036,40.759727,-73.985886,5,3,125,1076192,1010180018,"Midtown-Midtown South                                                      ",3,333,2,"hotels",2.65161290322581,1.67741935483871,245.258064516129,31,2.59350649350649,1.66233766233766,191.584415584416,77,6.64545454545455,4.16233766233766,637.181818181818,183,2.19480519480519,1.35064935064935,194.350649350649,77,0,0,0,4,0.0909090909090909,0.0649350649350649,9.63636363636364,6
"Marriott Marquis Hotel","1535 Broadway","2123981900",10036,40.758267,-73.985468,5,3,119,1024727,1010170029,"Midtown-Midtown South                                                      ",3.5,750,3,"hotels",1.8,1.46666666666667,368,15,2.872,1.86,332.653333333333,75,5.94666666666667,3.62666666666667,408.946666666667,179,2.70666666666667,1.74666666666667,300.146666666667,76,0.213333333333333,0.133333333333333,8.65333333333333,11,0.0933333333333333,0.0666666666666667,9.89333333333333,6
